Team,Accuracy
The rest of team 1,64.41905823349123
Team 13,61.79994427417108
Team4,51.3792142658122
TeamXX,46.97687378099749
Team8,46.97687378099749
باقي team 1,24.407913067706883
Team 11,15.909724157146837
